run_id,site_id,battery_id,period_id,money_spent,money_no_batt,score
11_1_3,11,1,3,1834.2970955584485,2279.201513513571,-0.195201878955085
11_1_4,11,1,4,1332.0499111637828,1826.5016378392338,-0.27070970889486384
11_1_5,11,1,5,457.78367752796527,655.056799615551,-0.30115422388312607
11_1_6,11,1,6,649.4182473914196,839.3546571944739,-0.22628862325958007
11_1_7,11,1,7,2341.547621412677,2758.6117911884594,-0.15118624922432586
11_1_8,11,1,8,1797.8122015762376,2224.6679031745193,-0.1918738976676808
11_2_1,11,2,1,495.2720916836143,803.0462103056537,-0.38325829158062413
11_2_2,11,2,2,697.0421254536435,965.1339155026795,-0.27777677868609907
11_2_3,11,2,3,1596.3492665651652,2279.201513513571,-0.2996015239985229
11_2_4,11,2,4,993.4694149201314,1826.5016378392338,-0.4560807423663667
11_2_5,11,2,5,311.8574330086239,655.056799615551,-0.5239230656156059
11_2_6,11,2,6,551.1223295092009,839.3546571944739,-0.34339754383288207
11_2_7,11,2,7,2105.533562824005,2758.6117911884594,-0.23674162143818597
11_2_8,11,2,8,1582.9261443915177,2224.6679031745193,-0.28846631799166955
12_1_1,12,1,1,14.310045010894946,18.334671247670258,-0.21950904831668097
12_1_2,12,1,2,15.642140448566062,19.135100349002236,-0.18254202155873764
12_1_3,12,1,3,45.46994912351995,53.09429252464571,-0.1436000564012908
12_1_4,12,1,4,29.417181545036062,39.579554626509236,-0.25675814640588984
12_1_5,12,1,5,12.77584732906993,16.66495277286099,-0.23337032494472468
12_1_6,12,1,6,10.046290913582336,14.423816940225228,-0.3034928996107002
12_1_7,12,1,7,13.496042480030546,17.60575911472365,-0.23343024336031945
12_1_8,12,1,8,14.704858402765353,18.421523780786224,-0.20175667454270954
12_1_9,12,1,9,59.459699226471095,68.62201969360943,-0.13351866511722033
12_1_10,12,1,10,28.584283535793396,38.76858354603041,-0.26269466353200843
12_1_11,12,1,11,9.212669663762586,12.86648583875787,-0.28397934142894316
12_1_12,12,1,12,5.384481350010596,9.290659754529468,-0.42044144417348794
12_1_13,12,1,13,15.14838821300498,18.590921718243635,-0.1851728256087717
12_1_14,12,1,14,32.616752772639515,41.125759170536504,-0.20690211121970117
12_1_15,12,1,15,23.744601885018472,32.26772126217771,-0.26413762868187185
12_2_1,12,2,1,12.877711050513238,18.334671247670258,-0.2976306541547846
12_2_2,12,2,2,14.660614614434483,19.135100349002236,-0.23383654399288623
12_2_3,12,2,3,41.80474928609604,53.09429252464571,-0.21263195537089422
